34,1,0,0,-1,10,19,5,65
18,6,2,4,4,13,22,5,65
6,4,1,7,1,24,29,7,61
29,2,0,5,1,22,31,8,54
7,3,1,6,0,18,32,9,48
25,2,0,6,1,30,35,9,48
15,4,2,6,7,24,37,10,42
30,3,1,5,2,29,41,12,36
32,6,3,6,8,23,45,15,31
5,2,0,5,2,40,47,15,31
34,1,0,0,-1,38,49,15,26
34,1,0,0,-1,40,51,15,26
34,1,0,0,-1,57,53,15,26
21,3,1,8,5,8,3,0,81
34,-1,0,0,-1,3,5,1,73
34,-1,0,0,-1,6,8,1,73
34,-1,0,0,-1,8,10,1,73
26,2,1,4,4,11,12,1,73
28,4,3,5,10,4,12,3,67
29,2,0,5,1,7,15,3,67
5,2,0,5,2,2,15,4,62
20,3,0,7,2,9,18,4,62
18,6,2,4,4,6,20,4,55
32,6,3,6,8,6,24,6,50
25,2,0,6,1,6,24,6,50
6,4,1,7,1,9,27,6,50
16,6,2,6,3,14,30,7,43
32,6,3,6,8,11,34,9,36
0,1,0,2,2,11,34,9,36
1,3,0,3,1,11,34,9,36
12,3,1,4,3,22,36,9,36
34,-1,0,0,-1,20,39,10,32
34,-1,0,0,-1,32,41,10,32
34,-1,0,0,-1,34,43,10,32
34,-1,0,0,-1,36,45,10,32
